,Unnamed: 0,Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Pop_White,Pop_Black,Pop_AIAN,Pop_Asian,Pop_NHPI,Pop_Total,Cases_TotalN,Cases_WhiteN,Cases_BlackN,Cases_AsianN,Cases_AIANN,Cases_NHPIN,Deaths_TotalN,Deaths_WhiteN,Deaths_BlackN,Deaths_AsianN,Deaths_AIANN,Deaths_NHPIN
27,27,9/16/2020,NC,188024,84156,34538,0,2827,2315,291,0,22873,41024,43888,81487,62649,3149,1795,912,0,40,41,4,0,203,154,279,2524,346,6898296,2088362,147566,215952,10309,9360485,0.02008699335557933,0.012199534493735844,0.016538320463597787,0.013090872045639771,0.015687895585704024,0.028227762149578037,0.0003364141922133308,0.0002602091878921983,0.0004367058967746013,0.00018522634659553976,0.00027784177927164794,0.00038801047628285966
28,28,9/16/2020,ND,16333,8956,1149,0,256,878,0,269,33,4792,0,0,16333,141,0,0,0,0,0,0,0,0,141,0,0,141,609136,8248,36948,7032,334,661698,0.024683465871137587,0.014702792151506395,0.13930649854510185,0.03640500568828214,0.023763126556241205,0.0,0.0002130881459517786,0.0,0.0,0.0,0.0,0.0
29,29,9/16/2020,NE,39419,24900,2200,0,1500,391,64,0,1900,8464,11600,18100,9719,439,342,31,0,18,11,0,0,12,25,88,297,54,1649264,85971,23418,33322,2061,1794036,0.02197224581892448,0.015097643554943295,0.025590024543159902,0.045015305203769285,0.016696558203091637,0.031052886948083454,0.0002446996604304484,0.00020736522473054647,0.0003605867094717986,0.0005401836624452313,0.0004697241438209924,0.0
30,30,9/16/2020,NH,7780,5064,372,971,215,0,0,0,250,908,971,5901,908,438,401,9,12,4,0,0,0,1,11,12,415,11,1248321,16365,3530,28933,532,1297681,0.005995310095470305,0.00405664889079011,0.022731439046746106,0.007430961186188781,0.0,0.0,0.0003375251698992279,0.0003212314781214127,0.0005499541704857929,0.00013825044067327966,0.0,0.0
31,31,9/16/2020,NJ,197792,47270,20768,38128,6464,0,0,0,14575,70587,38128,89077,70587,16054,8578,2846,3180,872,0,0,0,298,280,3180,12594,280,6546498,1282005,49907,746212,7731,8632353,0.02291287207555113,0.0072206544628899295,0.016199624806455513,0.008662417650748044,0.0,0.0,0.0018597478578552106,0.001310318891107887,0.002219960140561074,0.0011685687177370506,0.0,0.0
32,32,9/16/2020,NM,27041,3931,484,12173,173,8315,0,0,0,1965,12173,12903,1965,832,173,7,159,2,404,0,0,0,87,159,586,87,1720992,49006,208890,31253,3132,2013273,0.013431362761036382,0.002284147747345717,0.009876341672448271,0.0055354685950148785,0.03980563933170568,0.0,0.00041325741715107686,0.00010052341905133783,0.000142839652287475,6.399385658976739e-05,0.0019340322657858202,0.0
33,33,9/16/2020,NV,74248,15323,4659,24422,4159,288,0,0,6000,19397,24422,30429,19397,1494,494,114,223,116,8,0,0,10,529,223,742,529,2106494,231224,42965,203478,19307,2603468,0.028518883274155856,0.007274172155249434,0.020149292460990207,0.020439556119089042,0.006703130455021529,0.0,0.000573849957057279,0.00023451289203767016,0.0004930284053558454,0.0005700862009652149,0.0001861980681950425,0.0
34,34,9/16/2020,NY,446366,0,0,0,0,0,0,0,0,446366,0,0,0,28669,8790,6449,6788,1716,0,0,0,1843,3083,6788,18798,3083,13901661,3378047,183046,1481555,24000,18968309,0.023532197835874562,0.0,0.0,0.0,0.0,0.0,0.0015114156986793077,0.0006322985433179531,0.0019090912589434072,0.001158242522214835,0.0,0.0
35,35,9/16/2020,OH,140518,77635,29216,0,3568,177,188,4289,9200,16245,8633,100748,31137,4555,3518,835,0,46,3,2,62,31,58,100,4359,96,9664524,1426861,29674,196693,5336,11323088,0.012409865577305414,0.0080329874497699,0.020475715574257057,0.018139943973603533,0.00596481768551594,0.03523238380809595,0.0004022754216870875,0.00036401171956321904,0.0005852006607511174,0.00023386699069107694,0.00010109860483925321,0.0003748125937031484
36,36,9/16/2020,OK,72284,40613,5062,0,2551,7014,0,0,2843,14201,12356,39762,20166,924,668,57,0,21,91,0,0,29,58,61,714,149,2851510,284332,335664,67126,5354,3543986,0.020396243100283127,0.014242629343751206,0.017803131550441033,0.038003158239728274,0.020895895895895897,0.0,0.0002607233775754193,0.00023426184723181754,0.00020046987324676786,0.0003128445013854542,0.00027110443777110445,0.0
